2026-06-29 12:59:56,740 | INFO | Opening: https://books.toscrape.com/
2026-06-29 12:59:59,130 | INFO | Opening book: Suzie Snowflake: One beautiful flake (a self-esteem story)
2026-06-29 12:59:59,237 | INFO | Verifying book details page: Suzie Snowflake: One beautiful flake (a self-esteem story)
2026-06-29 12:59:59,246 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:59:59,263 | INFO | Verifying category: Novels
2026-06-29 12:59:59,270 | INFO | ✓ Category page loaded.
2026-06-29 12:59:59,289 | INFO | Verifying homepage is loaded...
2026-06-29 12:59:59,300 | INFO | ✓ Homepage loaded successfully.
2026-06-29 12:59:59,302 | INFO | Opening category: Classics
2026-06-29 12:59:59,397 | INFO | Verifying category: Classics
2026-06-29 12:59:59,415 | INFO | ✓ Category page loaded.
2026-06-29 12:59:59,416 | INFO | Selecting random books...
2026-06-29 12:59:59,418 | INFO | Selected 5 random book(s).
2026-06-29 12:59:59,421 | INFO | Opening book: The Metamorphosis
2026-06-29 12:59:59,538 | INFO | Verifying book details page: The Metamorphosis
2026-06-29 12:59:59,547 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:59:59,570 | INFO | Verifying category: Classics
2026-06-29 12:59:59,578 | INFO | ✓ Category page loaded.
2026-06-29 12:59:59,582 | INFO | Opening book: Wuthering Heights
2026-06-29 12:59:59,687 | INFO | Verifying book details page: Wuthering Heights
2026-06-29 12:59:59,696 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:59:59,722 | INFO | Verifying category: Classics
2026-06-29 12:59:59,729 | INFO | ✓ Category page loaded.
2026-06-29 12:59:59,733 | INFO | Opening book: Alice in Wonderland (Alice's Adventures in Wonderland #1)
2026-06-29 12:59:59,844 | INFO | Verifying book details page: Alice in Wonderland (Alice's Adventures in Wonderland #1)
2026-06-29 12:59:59,851 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 12:59:59,872 | INFO | Verifying category: Classics
2026-06-29 12:59:59,883 | INFO | ✓ Category page loaded.
2026-06-29 12:59:59,887 | INFO | Opening book: And Then There Were None
2026-06-29 13:00:00,003 | INFO | Verifying book details page: And Then There Were None
2026-06-29 13:00:00,011 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 13:00:00,034 | INFO | Verifying category: Classics
2026-06-29 13:00:00,043 | INFO | ✓ Category page loaded.
2026-06-29 13:00:00,047 | INFO | Opening book: Animal Farm
2026-06-29 13:00:00,154 | INFO | Verifying book details page: Animal Farm
2026-06-29 13:00:00,162 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 13:00:00,184 | INFO | Verifying category: Classics
2026-06-29 13:00:00,194 | INFO | ✓ Category page loaded.
2026-06-29 13:00:00,213 | INFO | Verifying homepage is loaded...
2026-06-29 13:00:00,223 | INFO | ✓ Homepage loaded successfully.
2026-06-29 13:00:00,225 | INFO | Opening category: Academic
2026-06-29 13:00:00,330 | INFO | Verifying category: Academic
2026-06-29 13:00:00,339 | INFO | ✓ Category page loaded.
2026-06-29 13:00:00,340 | INFO | Selecting random books...
2026-06-29 13:00:00,342 | INFO | Selected 1 random book(s).
2026-06-29 13:00:00,345 | INFO | Opening book: Logan Kade (Fallen Crest High #5.5)
2026-06-29 13:00:00,454 | INFO | Verifying book details page: Logan Kade (Fallen Crest High #5.5)
2026-06-29 13:00:00,463 | INFO | ✓ Details page loaded and H1 title matches the selected book.
2026-06-29 13:00:00,480 | INFO | Verifying category: Academic
2026-06-29 13:00:00,488 | INFO | ✓ Category page loaded.
2026-06-29 13:00:00,505 | INFO | Verifying homepage is loaded...
2026-06-29 13:00:00,517 | INFO | ✓ Homepage loaded successfully.
